personnel_id,rank,terrain,consecutive_field_days,duty_hours_5d,night_shifts_5d,leave_denial_ratio,sleep_hrs_5d_avg,self_reported_energy,self_reported_stress,survey_latency_sec,delta_rhr,masking_index,risk_label
PERS_1022,Constable,High Altitude (Ladakh/Sikkim),52,59.5,3,0.02,4.4,2,6,18.5,10.7,0.16,1
PERS_1023,Constable,Dense Forest (Bastar),15,40.8,2,0.14,6.7,5,1,35.4,4.6,0.1,0
PERS_1024,Head Constable,Counter-Insurgency (J&K),30,43.1,4,0.18,6.2,5,4,22.6,8.4,0.0,0
PERS_1025,ASI,Peace Station (HQ),37,54.5,0,0.29,6.7,4,2,20.1,6.5,0.07,0
PERS_1026,Constable,Dense Forest (Bastar),63,58.2,1,0.12,5.8,3,5,59.4,8.0,0.02,1
PERS_1027,Head Constable,Counter-Insurgency (J&K),43,50.1,2,0.44,4.7,3,5,21.2,10.0,0.22,0
PERS_1028,Head Constable,Border Outpost (Thar),33,66.1,2,0.21,5.2,2,5,38.2,7.1,0.05,1
PERS_1029,Constable,Border Outpost (Thar),72,62.7,1,0.19,5.2,2,5,46.4,10.7,0.05,2
PERS_1030,Head Constable,Counter-Insurgency (J&K),15,46.0,3,0.53,5.6,5,3,8.3,8.2,0.04,0
PERS_1031,Constable,High Altitude (Ladakh/Sikkim),19,37.0,1,0.32,6.8,5,1,120.0,1.5,0.09,0
PERS_1032,Constable,Counter-Insurgency (J&K),41,62.0,0,0.47,6.1,3,4,19.0,8.3,0.0,1
PERS_1033,Sub-Inspector,Counter-Insurgency (J&K),27,61.0,4,0.08,4.6,2,6,56.4,11.1,0.03,1
PERS_1034,Inspector,High Altitude (Ladakh/Sikkim),78,54.8,1,0.15,6.4,2,3,109.2,7.8,0.05,1
PERS_1035,ASI,High Altitude (Ladakh/Sikkim),18,52.6,4,0.12,5.6,4,3,38.9,7.8,0.05,1
PERS_1036,Constable,Dense Forest (Bastar),21,57.1,1,0.08,5.9,3,2,23.3,7.8,0.04,0
PERS_1037,Constable,Dense Forest (Bastar),3,64.3,0,0.66,5.9,3,3,9.5,8.2,0.04,1
PERS_1038,Head Constable,High Altitude (Ladakh/Sikkim),52,62.1,3,0.05,5.6,2,6,53.9,10.5,0.04,1
PERS_1039,Constable,Border Outpost (Thar),33,55.8,3,0.06,5.7,4,3,38.8,9.6,0.08,1
PERS_1040,Constable,Border Outpost (Thar),16,58.9,2,0.2,6.2,3,3,42.6,8.3,0.02,1
PERS_1041,Head Constable,Counter-Insurgency (J&K),35,63.0,0,0.36,6.7,4,2,45.3,6.3,0.15,0
PERS_1042,Constable,Peace Station (HQ),125,63.2,2,0.65,6.7,2,10,8.4,12.1,0.03,2
PERS_1043,Sub-Inspector,Counter-Insurgency (J&K),23,59.5,1,0.42,6.3,3,3,25.0,11.2,0.09,1
PERS_1044,Constable,Counter-Insurgency (J&K),30,44.2,3,0.15,5.3,4,2,55.3,9.9,0.63,0
PERS_1045,Head Constable,Peace Station (HQ),19,60.3,1,0.4,6.3,4,3,77.1,6.9,0.25,0
PERS_1046,Constable,High Altitude (Ladakh/Sikkim),12,42.5,3,0.37,6.2,5,3,55.7,6.9,0.1,0
PERS_1047,Head Constable,Border Outpost (Thar),59,43.8,1,0.34,6.6,3,3,120.0,5.0,0.08,0
PERS_1048,Head Constable,Counter-Insurgency (J&K),9,47.6,2,0.23,5.9,5,2,64.8,5.4,0.11,0
PERS_1049,Constable,Peace Station (HQ),67,41.3,3,0.43,6.0,4,7,42.8,9.7,0.17,2
PERS_1050,Inspector,Dense Forest (Bastar),67,48.7,0,0.25,5.7,3,3,32.0,6.0,0.01,1
PERS_1051,ASI,Counter-Insurgency (J&K),47,56.5,3,0.62,3.6,3,9,17.3,11.8,0.16,2
PERS_1052,Sub-Inspector,Border Outpost (Thar),34,54.2,1,0.39,6.2,5,2,99.4,11.3,0.01,0
PERS_1053,Sub-Inspector,High Altitude (Ladakh/Sikkim),41,58.5,1,0.28,5.6,4,4,20.5,9.2,0.18,0
PERS_1054,Head Constable,Counter-Insurgency (J&K),8,55.4,2,0.36,5.3,5,3,42.4,7.3,0.66,0
PERS_1055,Sub-Inspector,Counter-Insurgency (J&K),54,57.1,3,0.69,4.9,2,9,76.6,11.7,0.08,2
PERS_1056,Constable,Peace Station (HQ),63,45.8,0,0.21,6.2,4,3,62.2,4.9,0.07,0
PERS_1057,Constable,Dense Forest (Bastar),43,61.5,2,0.31,5.8,3,5,19.4,10.7,0.05,1
PERS_1058,Constable,Dense Forest (Bastar),49,51.8,2,0.08,5.7,3,4,16.9,6.3,0.03,1
PERS_1059,Constable,High Altitude (Ladakh/Sikkim),29,53.3,1,0.38,6.3,5,3,24.3,5.5,0.03,0
PERS_1060,Constable,Border Outpost (Thar),98,58.8,1,0.17,6.5,1,6,21.6,10.0,0.12,1
PERS_1061,Constable,High Altitude (Ladakh/Sikkim),48,68.5,2,0.24,4.7,3,6,33.0,12.5,0.12,1
PERS_1062,ASI,Counter-Insurgency (J&K),50,41.1,1,0.18,7.5,5,1,33.7,4.2,0.12,0
PERS_1063,Constable,Counter-Insurgency (J&K),70,51.6,2,0.57,6.1,4,7,35.3,9.6,0.05,2
PERS_1064,Constable,Dense Forest (Bastar),46,57.9,3,0.58,5.6,4,6,41.4,10.9,0.0,1
PERS_1065,Head Constable,Border Outpost (Thar),96,57.8,3,0.6,5.7,3,9,31.6,9.5,0.04,2
PERS_1066,Constable,Peace Station (HQ),42,47.4,1,0.47,6.9,4,2,29.2,2.8,0.08,0
PERS_1067,ASI,Border Outpost (Thar),33,32.1,2,0.29,7.0,5,2,17.0,5.3,0.02,0
PERS_1068,Constable,Counter-Insurgency (J&K),32,48.3,0,0.28,7.3,5,1,42.0,6.0,0.06,0
PERS_1069,Inspector,Peace Station (HQ),31,54.7,2,0.11,5.1,4,4,61.2,12.3,0.82,1
PERS_1070,ASI,Border Outpost (Thar),87,62.1,4,0.04,4.6,2,10,32.2,13.7,0.03,2
PERS_1071,Constable,Border Outpost (Thar),69,53.2,1,0.27,6.7,4,4,79.5,5.6,0.09,1
PERS_1072,Constable,Peace Station (HQ),58,55.6,2,0.11,5.1,3,5,56.6,8.7,0.03,1
PERS_1073,ASI,Counter-Insurgency (J&K),72,43.8,2,0.06,7.1,4,3,44.1,4.8,0.08,0
PERS_1074,Head Constable,Border Outpost (Thar),120,63.9,2,0.18,5.1,2,9,21.1,11.7,0.04,2
PERS_1075,Head Constable,Peace Station (HQ),9,49.0,1,0.49,6.7,5,1,42.0,7.0,0.01,0
PERS_1076,ASI,Counter-Insurgency (J&K),48,54.5,1,0.12,5.5,2,2,5.0,7.2,0.03,0
PERS_1077,Constable,Peace Station (HQ),47,50.5,2,0.1,4.6,3,4,87.5,7.2,0.6,1
PERS_1078,Constable,Peace Station (HQ),56,55.7,1,0.62,6.8,3,5,29.1,5.1,0.04,1
PERS_1079,Constable,Border Outpost (Thar),115,65.8,2,0.13,5.0,1,8,27.7,14.0,0.11,2
PERS_1080,ASI,Counter-Insurgency (J&K),49,55.5,2,0.29,6.3,3,4,24.7,8.8,0.03,1
PERS_1081,Head Constable,Border Outpost (Thar),86,38.4,3,0.17,6.1,5,4,30.5,9.0,0.0,1
PERS_1082,Constable,High Altitude (Ladakh/Sikkim),50,55.8,1,0.19,5.6,3,3,49.8,6.6,0.12,0
PERS_1083,Constable,High Altitude (Ladakh/Sikkim),55,49.6,1,0.33,7.5,4,2,76.0,6.1,0.02,0
PERS_1084,Constable,Counter-Insurgency (J&K),34,44.3,2,0.2,6.3,5,3,18.3,9.5,0.07,1
PERS_1085,Constable,Peace Station (HQ),16,63.1,1,0.38,5.7,3,4,61.3,8.2,0.03,1
PERS_1086,Head Constable,Border Outpost (Thar),111,49.8,2,0.09,5.9,2,5,27.0,9.2,0.15,1
PERS_1087,Head Constable,Border Outpost (Thar),52,45.0,1,0.21,5.9,3,4,59.9,5.2,0.06,1
PERS_1088,Sub-Inspector,Counter-Insurgency (J&K),55,31.1,1,0.19,7.9,5,1,12.1,1.3,0.11,0
PERS_1089,Head Constable,Counter-Insurgency (J&K),53,67.7,1,0.06,5.6,3,5,59.8,11.5,0.04,1
PERS_1090,Constable,High Altitude (Ladakh/Sikkim),76,64.5,1,0.3,6.1,2,5,35.3,8.0,0.24,2
PERS_1091,Head Constable,Dense Forest (Bastar),24,47.1,3,0.32,5.2,5,3,14.6,4.7,0.65,0
PERS_1092,ASI,Counter-Insurgency (J&K),17,55.8,0,0.65,5.6,4,2,12.0,8.1,0.03,0
PERS_1093,Head Constable,Dense Forest (Bastar),16,27.3,3,0.45,7.3,5,1,39.9,3.3,0.05,0
PERS_1094,ASI,Counter-Insurgency (J&K),23,55.1,1,0.45,6.9,4,1,40.4,5.3,0.06,0
PERS_1095,Head Constable,Peace Station (HQ),5,39.9,2,0.16,5.6,4,2,15.9,8.2,0.01,0
PERS_1096,Head Constable,Peace Station (HQ),53,70.0,2,0.05,4.0,2,7,74.6,12.6,0.14,2
PERS_1097,Constable,High Altitude (Ladakh/Sikkim),28,54.5,3,0.02,4.9,4,5,42.4,6.6,0.05,1
PERS_1098,Constable,High Altitude (Ladakh/Sikkim),37,53.0,3,0.27,4.5,3,7,77.1,10.6,0.07,1
PERS_1099,Constable,Dense Forest (Bastar),72,47.0,4,0.05,5.0,3,6,12.9,11.5,0.24,2
PERS_1100,Constable,Counter-Insurgency (J&K),28,42.7,3,0.13,6.2,5,2,37.0,7.4,0.17,0
PERS_1101,Head Constable,Border Outpost (Thar),28,56.7,1,0.53,6.5,4,3,56.7,5.9,0.06,1
PERS_1102,Constable,High Altitude (Ladakh/Sikkim),45,44.2,4,0.09,5.8,4,4,32.5,7.0,0.09,1
PERS_1103,Head Constable,Border Outpost (Thar),38,43.1,4,0.3,5.4,4,5,30.7,8.7,0.08,1
PERS_1104,Sub-Inspector,Border Outpost (Thar),151,77.2,1,0.09,5.6,1,8,67.7,17.3,0.02,2
PERS_1105,Constable,Counter-Insurgency (J&K),12,52.1,3,0.08,4.3,3,3,26.1,9.4,0.6,1
PERS_1106,Constable,Dense Forest (Bastar),54,42.4,2,0.47,5.8,4,5,18.8,6.1,0.07,0
PERS_1107,ASI,Counter-Insurgency (J&K),27,56.2,3,0.11,5.2,4,5,27.7,8.9,0.04,1
PERS_1108,Constable,High Altitude (Ladakh/Sikkim),43,49.5,3,0.12,5.1,3,4,37.6,8.8,0.78,1
PERS_1109,Constable,Border Outpost (Thar),39,34.2,3,0.32,6.4,5,3,82.1,6.4,0.1,0
PERS_1110,Constable,Counter-Insurgency (J&K),74,50.4,3,0.08,5.8,4,4,11.0,9.8,0.0,1
PERS_1111,Constable,Counter-Insurgency (J&K),51,42.6,1,0.06,6.6,5,1,42.3,5.1,0.22,0
PERS_1112,Sub-Inspector,Counter-Insurgency (J&K),44,55.0,1,0.05,5.8,4,3,36.2,9.1,0.15,0
PERS_1113,ASI,High Altitude (Ladakh/Sikkim),89,50.3,1,0.51,6.3,3,4,34.0,7.1,0.21,1
PERS_1114,Head Constable,Dense Forest (Bastar),46,53.5,0,0.36,7.2,4,2,23.9,4.8,0.07,0
PERS_1115,Sub-Inspector,Counter-Insurgency (J&K),9,55.6,1,0.13,6.5,4,1,14.3,4.7,0.19,0
PERS_1116,ASI,High Altitude (Ladakh/Sikkim),67,78.3,2,0.11,4.8,2,8,51.2,16.7,0.03,2
PERS_1117,Constable,Border Outpost (Thar),55,73.3,1,0.17,5.1,1,7,41.0,14.0,0.01,1
PERS_1118,Sub-Inspector,Peace Station (HQ),80,58.2,2,0.15,5.6,2,7,12.9,10.6,0.18,2
PERS_1119,Head Constable,High Altitude (Ladakh/Sikkim),66,54.1,3,0.56,6.0,2,6,15.8,8.9,0.05,2
PERS_1120,ASI,Peace Station (HQ),26,44.6,2,0.22,5.8,5,3,83.3,6.5,0.03,1
PERS_1121,Sub-Inspector,Counter-Insurgency (J&K),2,31.8,2,0.37,7.8,5,1,57.5,1.7,0.02,0
PERS_1122,Constable,Counter-Insurgency (J&K),76,32.7,1,0.18,7.6,4,1,82.6,3.6,0.05,0
PERS_1123,Constable,High Altitude (Ladakh/Sikkim),45,44.1,1,0.04,6.8,4,1,32.4,4.6,0.06,0
PERS_1124,Constable,Peace Station (HQ),30,67.4,2,0.19,4.7,3,6,32.5,12.8,0.08,2
PERS_1125,Constable,Counter-Insurgency (J&K),28,66.8,2,0.09,5.7,4,4,51.8,9.7,0.05,1
PERS_1126,ASI,Border Outpost (Thar),50,53.7,2,0.13,6.3,5,3,14.9,9.2,0.02,1
PERS_1127,ASI,Dense Forest (Bastar),33,56.0,2,0.26,4.8,3,4,58.0,10.7,0.62,1
PERS_1128,Constable,Dense Forest (Bastar),17,43.7,1,0.19,7.0,5,1,86.9,4.9,0.02,0
PERS_1129,Head Constable,Counter-Insurgency (J&K),15,49.2,0,0.23,6.5,5,1,24.6,5.7,0.12,1
PERS_1130,Constable,Peace Station (HQ),40,44.2,3,0.19,5.7,4,5,21.7,7.7,0.11,1
PERS_1131,Constable,Counter-Insurgency (J&K),25,42.7,1,0.13,6.0,5,1,27.8,2.9,0.25,0
PERS_1132,Constable,Peace Station (HQ),21,56.2,2,0.13,5.7,4,5,29.4,10.0,0.27,1
PERS_1133,Constable,Border Outpost (Thar),97,51.6,3,0.6,5.6,3,7,36.2,10.5,0.05,2
PERS_1134,Sub-Inspector,Peace Station (HQ),23,55.2,1,0.25,6.3,4,3,16.3,7.4,0.07,0
PERS_1135,Constable,Counter-Insurgency (J&K),57,52.2,2,0.69,5.6,2,7,24.7,10.0,0.19,2
PERS_1136,Head Constable,Border Outpost (Thar),61,68.3,2,0.23,4.7,2,6,42.9,14.0,0.02,2
PERS_1137,Head Constable,High Altitude (Ladakh/Sikkim),19,55.4,2,0.33,4.5,3,5,52.1,8.7,0.04,1
PERS_1138,Constable,Dense Forest (Bastar),20,52.4,1,0.32,6.9,5,1,56.9,3.9,0.17,0
PERS_1139,Inspector,Counter-Insurgency (J&K),18,35.5,3,0.34,5.4,3,5,24.2,3.9,0.14,1
PERS_1140,Inspector,Counter-Insurgency (J&K),26,45.7,0,0.05,7.4,5,1,17.3,3.4,0.04,0
PERS_1141,Constable,Counter-Insurgency (J&K),55,53.0,2,0.28,5.7,4,5,37.0,8.8,0.08,1
PERS_1142,Head Constable,Border Outpost (Thar),41,52.6,2,0.18,6.2,3,3,16.5,6.4,0.0,0
PERS_1143,Constable,High Altitude (Ladakh/Sikkim),77,62.3,1,0.05,5.8,4,4,8.7,10.4,0.02,1
PERS_1144,Constable,Peace Station (HQ),63,56.4,1,0.11,5.5,3,3,58.2,7.8,0.02,1
PERS_1145,Constable,High Altitude (Ladakh/Sikkim),66,44.3,1,0.08,7.1,4,3,68.7,6.7,0.3,0
PERS_1146,Head Constable,Border Outpost (Thar),84,62.3,1,0.33,5.7,2,6,30.1,11.4,0.06,1
PERS_1147,Head Constable,Counter-Insurgency (J&K),40,47.4,0,0.26,6.9,3,2,25.8,4.3,0.08,0
PERS_1148,Constable,Dense Forest (Bastar),51,46.6,3,0.28,5.9,3,6,24.4,7.3,0.13,1
PERS_1149,Constable,Counter-Insurgency (J&K),72,44.2,1,0.28,7.5,4,2,19.1,5.4,0.06,0
PERS_1150,Sub-Inspector,Peace Station (HQ),81,52.6,3,0.02,5.2,3,6,56.5,14.4,0.22,1
PERS_1151,Constable,Dense Forest (Bastar),54,47.8,3,0.47,5.9,3,5,15.0,7.0,0.04,2
PERS_1152,Constable,Counter-Insurgency (J&K),10,60.6,2,0.21,5.5,4,3,35.0,10.1,0.04,1
PERS_1153,Head Constable,Dense Forest (Bastar),124,57.7,2,0.36,5.3,1,8,18.5,12.2,0.14,2
PERS_1154,Inspector,High Altitude (Ladakh/Sikkim),39,57.2,1,0.09,5.7,4,3,34.6,7.6,0.09,0
PERS_1155,Constable,Border Outpost (Thar),30,33.0,5,0.68,5.1,5,7,24.3,6.7,0.03,2
PERS_1156,Head Constable,Counter-Insurgency (J&K),23,57.7,2,0.18,5.8,4,3,12.9,10.9,0.07,1
PERS_1157,ASI,Peace Station (HQ),64,60.8,4,0.13,4.1,2,9,21.3,15.5,0.04,2
PERS_1158,Constable,High Altitude (Ladakh/Sikkim),55,38.9,1,0.3,6.4,5,3,21.0,5.7,0.18,0
PERS_1159,Head Constable,Counter-Insurgency (J&K),24,41.7,3,0.09,6.0,4,3,12.9,6.9,0.17,0
PERS_1160,Constable,High Altitude (Ladakh/Sikkim),11,42.5,2,0.6,7.0,5,2,17.3,1.6,0.03,0
PERS_1161,Head Constable,Peace Station (HQ),23,48.3,3,0.14,6.4,4,3,33.1,7.8,0.04,0
PERS_1162,Head Constable,Counter-Insurgency (J&K),67,47.7,1,0.02,4.9,4,4,35.4,6.2,0.61,1
PERS_1163,Head Constable,Peace Station (HQ),42,49.8,2,0.38,6.1,3,3,20.3,9.0,0.01,0
PERS_1164,Constable,Dense Forest (Bastar),13,55.8,2,0.34,6.0,4,3,35.5,9.0,0.2,0
PERS_1165,ASI,Peace Station (HQ),22,44.6,2,0.33,6.6,4,1,48.5,6.7,0.04,0
PERS_1166,Constable,Dense Forest (Bastar),38,54.8,2,0.34,5.7,2,6,39.9,11.4,0.16,2
PERS_1167,Constable,Counter-Insurgency (J&K),46,54.4,2,0.17,6.7,4,4,62.0,5.5,0.16,1
PERS_1168,Constable,Dense Forest (Bastar),30,25.0,1,0.65,8.7,5,1,63.2,-3.6,0.01,0
PERS_1169,Head Constable,Counter-Insurgency (J&K),49,44.8,2,0.2,6.3,4,3,58.8,7.9,0.07,1
PERS_1170,Head Constable,Counter-Insurgency (J&K),63,64.2,2,0.18,4.9,3,7,75.0,9.3,0.02,2
PERS_1171,Constable,Border Outpost (Thar),33,42.4,1,0.2,7.1,4,1,18.6,3.9,0.1,0
PERS_1172,Head Constable,Counter-Insurgency (J&K),89,46.2,3,0.65,6.1,3,8,22.6,8.7,0.04,2
PERS_1173,Constable,Dense Forest (Bastar),20,60.4,0,0.2,6.3,4,3,33.1,6.4,0.0,0
PERS_1174,Head Constable,Border Outpost (Thar),17,51.2,1,0.12,6.5,4,1,23.3,5.2,0.13,0
PERS_1175,Constable,Border Outpost (Thar),84,71.0,2,0.25,5.7,2,6,44.6,13.2,0.09,2
PERS_1176,Head Constable,Counter-Insurgency (J&K),4,43.8,3,0.27,6.9,5,1,58.9,3.1,0.12,1
PERS_1177,Constable,Peace Station (HQ),26,62.6,2,0.23,5.7,3,5,61.7,11.6,0.2,1
PERS_1178,Sub-Inspector,Peace Station (HQ),30,42.1,3,0.25,6.6,4,3,21.0,6.3,0.05,0
PERS_1179,Constable,Border Outpost (Thar),63,28.6,2,0.46,7.8,5,2,91.7,3.0,0.02,0
PERS_1180,Constable,Counter-Insurgency (J&K),11,55.8,3,0.17,5.1,3,3,12.8,7.9,0.73,1
PERS_1181,Constable,Peace Station (HQ),48,58.5,1,0.18,6.2,3,3,16.9,8.3,0.12,0
PERS_1182,Sub-Inspector,Counter-Insurgency (J&K),42,58.9,3,0.32,5.2,3,6,27.6,11.7,0.2,1
PERS_1183,Sub-Inspector,Counter-Insurgency (J&K),113,57.2,1,0.04,6.8,3,4,33.1,8.8,0.18,1
PERS_1184,Constable,Border Outpost (Thar),21,64.8,2,0.9,5.3,4,6,11.8,10.0,0.08,2
PERS_1185,Head Constable,Border Outpost (Thar),57,62.4,1,0.15,6.2,3,5,16.2,7.4,0.2,1
PERS_1186,ASI,High Altitude (Ladakh/Sikkim),34,59.6,3,0.69,4.9,3,8,44.2,7.3,0.08,2
PERS_1187,Head Constable,Peace Station (HQ),40,53.2,2,0.09,6.2,4,3,42.6,7.8,0.1,1
PERS_1188,Head Constable,Peace Station (HQ),25,37.0,3,0.19,6.5,5,2,36.0,3.7,0.07,0
PERS_1189,Constable,Peace Station (HQ),61,54.8,1,0.08,5.7,3,3,48.1,7.6,0.01,0
PERS_1190,Constable,Dense Forest (Bastar),70,58.6,0,0.22,6.8,3,4,23.3,10.0,0.1,1
PERS_1191,Sub-Inspector,Counter-Insurgency (J&K),48,73.1,1,0.39,5.7,2,6,14.2,11.4,0.03,2
PERS_1192,Sub-Inspector,Border Outpost (Thar),173,68.0,2,0.15,3.9,1,10,33.5,14.8,0.06,2
PERS_1193,Head Constable,Peace Station (HQ),31,40.6,3,0.15,5.1,5,5,55.2,5.9,0.19,1
PERS_1194,Constable,High Altitude (Ladakh/Sikkim),64,59.1,1,0.27,6.0,3,4,41.5,10.1,0.21,1
PERS_1195,Constable,Peace Station (HQ),93,69.9,1,0.58,5.5,2,7,10.5,10.2,0.14,2
PERS_1196,Head Constable,Counter-Insurgency (J&K),55,70.6,1,0.17,4.7,1,4,44.3,8.5,0.68,1
PERS_1197,Sub-Inspector,Counter-Insurgency (J&K),73,54.2,2,0.15,5.9,2,5,13.5,9.5,0.08,2
PERS_1198,Sub-Inspector,Border Outpost (Thar),100,56.0,1,0.52,6.0,3,8,15.9,12.4,0.06,1
PERS_1199,ASI,Dense Forest (Bastar),57,39.6,4,0.29,4.5,3,8,79.9,9.5,0.01,2
PERS_1200,Head Constable,Border Outpost (Thar),70,49.0,1,0.25,6.6,3,3,54.5,6.5,0.03,1
PERS_1201,Constable,Peace Station (HQ),21,54.4,2,0.16,5.2,4,3,46.4,6.3,0.65,1
PERS_1202,Constable,High Altitude (Ladakh/Sikkim),3,33.1,2,0.08,7.4,5,1,33.7,-0.1,0.07,0
PERS_1203,Sub-Inspector,Border Outpost (Thar),57,74.2,1,0.03,4.7,2,5,37.7,12.5,0.08,1
PERS_1204,Head Constable,Dense Forest (Bastar),32,47.6,2,0.17,6.4,4,1,76.8,8.6,0.19,1
PERS_1205,Constable,Border Outpost (Thar),35,52.7,2,0.48,6.5,4,5,38.4,7.7,0.07,1
PERS_1206,Constable,Counter-Insurgency (J&K),32,54.6,2,0.06,5.5,3,3,35.6,8.3,0.03,1
PERS_1207,Head Constable,Peace Station (HQ),42,63.5,2,0.18,5.1,3,5,32.6,11.3,0.08,1
PERS_1208,Constable,Peace Station (HQ),46,55.3,0,0.73,7.3,4,3,28.4,7.2,0.04,1
PERS_1209,Constable,Peace Station (HQ),63,43.6,3,0.22,6.3,4,3,66.6,10.9,0.14,1
PERS_1210,Head Constable,Peace Station (HQ),54,57.6,2,0.43,5.5,3,5,63.3,9.8,0.01,2
PERS_1211,Head Constable,Peace Station (HQ),13,60.6,3,0.19,5.8,3,3,25.7,11.9,0.06,1
PERS_1212,Head Constable,Peace Station (HQ),71,46.2,2,0.65,6.1,4,6,41.8,6.1,0.01,1
PERS_1213,Constable,High Altitude (Ladakh/Sikkim),122,68.2,1,0.15,5.2,1,6,22.9,12.5,0.07,2
PERS_1214,Head Constable,Dense Forest (Bastar),33,53.8,1,0.25,5.7,3,3,46.7,6.4,0.21,0
PERS_1215,Constable,Peace Station (HQ),54,54.4,3,0.12,5.6,3,8,30.1,12.3,0.04,2
PERS_1216,Constable,Dense Forest (Bastar),10,42.6,3,0.26,5.4,5,3,29.4,9.0,0.65,0
PERS_1217,Head Constable,Peace Station (HQ),35,49.3,2,0.47,6.8,5,4,29.7,6.8,0.15,1
PERS_1218,Head Constable,Border Outpost (Thar),15,53.9,1,0.39,5.9,4,3,13.2,5.9,0.06,0
PERS_1219,ASI,Peace Station (HQ),39,47.7,2,0.19,6.4,5,2,35.4,7.0,0.08,1
PERS_1220,Head Constable,Counter-Insurgency (J&K),34,41.6,3,0.15,6.1,4,2,30.0,6.3,0.22,1
PERS_1221,Head Constable,High Altitude (Ladakh/Sikkim),50,42.8,3,0.27,6.3,4,3,30.3,9.6,0.24,1
PERS_1222,Constable,Border Outpost (Thar),27,53.5,0,0.15,6.9,3,1,6.8,5.9,0.11,0
PERS_1223,Constable,Border Outpost (Thar),6,53.5,0,0.32,6.7,4,2,10.3,3.4,0.15,0
PERS_1224,Constable,Counter-Insurgency (J&K),20,49.3,1,0.65,6.3,5,2,13.6,3.4,0.19,0
PERS_1225,Constable,Peace Station (HQ),26,68.8,1,0.07,5.5,3,3,24.9,8.1,0.1,0
PERS_1226,Inspector,High Altitude (Ladakh/Sikkim),68,37.8,3,0.21,7.0,4,3,21.3,7.6,0.24,0
PERS_1227,Constable,Border Outpost (Thar),24,54.2,2,0.33,5.6,3,5,44.8,10.7,0.0,1
PERS_1228,Sub-Inspector,High Altitude (Ladakh/Sikkim),118,41.4,3,0.37,5.4,3,7,37.2,9.6,0.31,2
PERS_1229,Head Constable,Border Outpost (Thar),67,53.7,1,0.2,6.6,3,5,23.3,5.4,0.03,1
PERS_1230,ASI,Peace Station (HQ),18,52.3,2,0.35,6.0,3,3,78.8,9.0,0.09,0
PERS_1231,Head Constable,Border Outpost (Thar),27,48.9,2,0.12,6.9,4,3,80.2,4.6,0.04,0
PERS_1232,Head Constable,Border Outpost (Thar),68,35.3,1,0.52,7.7,5,2,49.8,2.6,0.12,0
PERS_1233,Head Constable,Dense Forest (Bastar),26,49.6,2,0.26,6.8,4,2,55.3,5.9,0.06,0
